Empty,"TB is intracellular; thereby TH1 cells mediate the response with granulomas, stimulating formation of giant cells, etc."
" NMDA receptor ANTAGONIST; can also limit reuptake of norepinephrine, dopamine, serotonin",Phencyclidine (PCP)
 associated with disinhibition of behavior,Right-sided frontal lobe lesions on right-handed individuals
" associated with dominant lesions of the parietal lobe; presents with right-left confusion, writing and mathematics difficulties",Gerstmann syndrome
" associated with hemi-neglect, denial of the problem",Non-dominant parietal lobe lesions
" symptoms typically peak at 5 days and resolve in 10; if longer, likely postpartum depression (> 4wks); if thoughts of harm are present, likely postpartum psychosis",Postpartum-blues
 associated with both physical AND vocal tics for >1yr; vocal tic can present as throat clearing,Tourette syndrome
 can present as a child angry about a divorce acting quiet because he believes that they are angry at them; often occurs in individuals who lack insight into their own feelings,Projection
 highly sedating anti-depressant that can be used to treat insomnia; assoc with priapism,Trazodone
 >1 mo &amp; <6 mo with schizophrenia symptoms; but functional decline not required,Schizophreniform disorder
" >= 1 delusions >1 mo, NO OTHER psychotic symptoms",Delusional disorder
 Bipolar I vs II; 1 has severe manic episodes; 2 has hypomanic episodes without marked impairment,Bipolar disorder
 associated with hypnopompic or hypnagogic hallucinations; sleep paralysis,Narcolepsy
 can refuse medical information; physicians must respect beliefs of cultures that value beneficence and nonmaleficence over autonomy,Patient refusals
" assoc with conjunctival injection, tachycardia, increased appetite, dry mouth",Marijuana intoxication
 allows patients to see providers out-of-network for a slightly increased fee,Point-of-service
" determined by 4 things: communicating a choice, understanding information, appreciating consequences, and has a rationale",Decision making capacity
 requires collaboration; a social worker can assess whether or not a patient has adequate family or caregiver at home,Effective discharge planning
 can help improve medication adherence,Simplifying dosing schedule
 assess patient ability to retain information and follow a checklist,Cognitive impairment and medical discharges
 should be addressed in the hospital admission process if the patient has a high risk of becoming incapacitated soon,Advance care planning
" acute onset, secondary to other conditions (e.g. infection, drugs, metabolic derangements, CNS issues)",Delerium
" 200 word vocabulary; with 6 cube stacking, parallel play",Age 2
 normal for children to see hallucinations < 6 mo,Hallucinations and grief
" lysyl oxidase (requires copper) oxidatively deaminates lysine residues, forming desmosine cross-links; these crosslinks allow for the rubber-like properties of this fibrous connective tissue protein",Elastin
 substrate concentration at which half of the enzyme's binding sites are occupied by substrate (1/2 Vmax),Michaelis constant (Km)
" can create 2,3-BPG via a glycolysis shunt from 1,3-BPG; this bypasses an ATP-generating step of glycolysis, resulting in no net gain of ATP",Erythrocytes
" produced from biphosphoglycerate mutase and 1,3-BPG; only present in RBCs / erythrocytes","2,3-BPG"
" is produced with succinate thiokinase, which converts SuccCoA to Succinate",GTP in Krebs cycle
" produced with succinate dehydrogenase, which converts Succ to fumarate",FADH2 in Krebs cycle
" for gluconeogenesis, catalyzes conversion of oxaloacetate to PEP, is one of the few GTP hydrolyzing enzymes",Phosphoenopyruvate carboxykinase
" produced during conversion of isocitrate to alpha-ketoglutarate, alpha-ketoglutarate to SuccCoA, and Malate to oxaloacetate",NADH in krebs cycle
" can present via an acyl-CoA dehydrogenase deficiency, which normally allows modification of carnitine to start fatty acid beta-oxidation",Hypoketotic hypoglycemia with fasting
" crosses the blood brain barrier, and causes excessive glutamine to accumulate within astrocytes and causing them to swell, impairing glutamine transfer it from glutamate production in neurons, resulting in disuption of excitatory neurotransmission",Hyperammonemia in advanced liver failure
" where glutamine is released by astrocytes to be taken up by neurons, which then use it to synthesize glutamate as an excitatory neurotransmitter",Glutamate-glutamine cycle
 allows tissues that use amino acids as fuel to shunt excess nitrogen to liver,Glucose-alanine cycle
 Hb A > Hb S > Hb C on gel electrophoresis; associated with a missense mutation on the beta globin chain,Hemoglobin C
" on the 3' end, sticks out relative to the 5' end which allows tRNA synthetase to bind to the tRNA",tRNA acceptor stem
 facilitates tRNA recognition by the proper aminoacyl tRNA synthetase,tRNA d-loop
 facilitates tRNA binding to ribosomes,tRNA t-loop
 enzyme found in adipose that mobilizes FFAs and glycerol during fasting for gluconeogenesis and ketones,Hormone sensitive lipase
" useful activator of carbamoyl phosphate synthetase, useful for urea cycle",N-acetylglutamate
" from poisonous mushrooms, concentrate into hepatocytes and bind DNA-dependent RNA polymerase II, which stops mRNA synthesis",Amatoxins
" inhibits protein synthesis by cleaving the rRNA component of eukaryotic 60s ribosomal subunit, from castor oil plant",Ricin
 transcribes eukaryotic ribosomal RNA components,RNA polymerase I
" transcribes tRNA, small RNA molecules",RNA polymerase III
" only bacterial DNA polymerase with 5' to 3' exonuclease activity, allowing it to run over / remove RNA primers",DNA polymerase I
" bacterial DNA polymerase with 5' to 3' polymerase activity, and 3' to 5' exonuclease activity",DNA polymerase III
" while T-cells prevent superficial Candida infection, NEUTROPHILS prevent hematogenous spread of Candida",Candida
" most common cause of male hypogonadism; destruction of seminiferous tubules remove inhibin, which limits feedback inhibition of FH, LSH, destruction of leydig cells too",Klinefelter syndrome
" XXY, can present with longer limbs, gynecomastia in a male (due to excess aromatase activity via HIGH FSH/LH) and small, firm testes",Klinefelter syndrome
" can face severe hypotension, acute pulmonary edema, due to sudden loss of normal atrial contraction",Aortic stenosis
" can occur alone or as a paraneoplastic syndrome (e.g. ovary, lung, GI, non-hodgekin lymphoma)",Dermatomyositis
" while increased sodium absorption would be present, hypernatremia is rarely seen due to aldosterone escape (pressure naturesis + ANP); resulting in normal sodium",Hyperaldosteronism
 occurs because alpha-intercalated cells secrete excessive hydrogen,Metabolic alkalosis in hyperaldosteronism
 can present with a bounding pulse and a brisk upstroke due to increased LV ejection volumes,Severe mitral regurgitation
 requires increased diastolic filling pressure from the left atrium,Left sided heart failure
" individuals with this disease are also prone to developing primary adrenal insufficiency, Graves disease, Hashimoto's thyroiditis",Type I diabetes mellitus
" stimulates the formation of phagolysosomes, NO release, and the development of granulomas and caseous necrosis",IFN-gamma
 stimulates natural killer (NK) cells to destroy target cells; also helps Th cells secrete IFN-gamma,IL-12
 directly responsible for tissue damage and setting the stage for abscess formation,Lysosomal enzyme release
" can be caused by stress; characterized by severe hypotension, abdominal pain, vomiting, weakness, and fever",Adrenal crisis
 modified smooth muscle cells with renin-containing zymogen granules; located on the wall of the afferent arteriole,Juxtaglomerular cells
 primary site of uric acid precipitation because of low urine pH,Renal Collecting ducts
 associated with hyponatremia due to excessive salt wasting from sweat (has high Na Cl levels),Cystic fibrosis
 associated with a delta-F508 mutation,Cystic fibrosis
" can also involve thoracic spine and costovertebral, costosternal junctions, limiting chest wall expansion; degree of chest expansion should be monitored",Ankylosing spondylitis
" can present with polyuria, due to high blood sugars (>250 mg/dL)",Osmotic diuresis
 can be due to loss of CNS inhibition of detrusor contraction in the bladder; in this state it is atonic and dilated,Incontinence
 associated with INCREASED lung capacity and residual capacity,Emphysema
" typically presents as lobar infiltrate with foul-smelling sputum, dyspnea, fever",Aspiration pneumonia
" inhibits the krebs cycle by using up free NAD+ to form NADH; particularly at conversion from pyruvate -> ACoA, and alpha-ketoglutarate to SuccCoA",Ethanol
" when cells within the heart, brain, or skeletal muscle are damaged, the enzyme creatine kinase leaks across the cell membrane into circulation",Reperfusion injury
 diagnosis is purely clinical; there is no serum toxin test or antibody test for this bacterium,Tetanus
 limits infarction due to collateral blood flow supplied by pulmonary and bronchial arteries,Dual blood supply of the lung
 onset is usually clinically silent,Hepatitis C
" onset is usually similar to a serum sickness-like syndrome with joint pain, lyphadenopathy, pruritic urticarial vasculitis rash",Hepatitis B
" if abnormal, can highlight deficits in the intrinsic coagulation pathway (all factors excluding factor X and below, factor 7)",aPTT
" can be treated with estrogen receptor modulators, which can decrease feedback inhibition on the hypothalamus by circulating estrogen, increasing GnRH",Infertility in polycystic ovary syndrome
" combination OCPs work by suppressing LH secretion from the pituitary, decreasing ovarian androgen production",Polycystic ovary syndrome
" can cause a combined aortic stenosis and regurgitation, both of which increase LV diastolic pressure",Rheumatic heart disease
 occurs when the lung is poorly ventilated but well-perfused,Intrapulmonary shunting
 does not cause acute symptoms,Hepatic steatosis
" while good for Legionella and P. aeruginosa, not effective vs. anaerobic infections",Ciprofloxacin
" extended spectrum with beta-lactamase inhibitor, therefore good against most gram-negative enteric rods (including Pseudomonas)",Piperacillin-Tazobactam
 occurs when one hormone allows another to exert its maximal effect,Permissiveness
 describes decreased drug responsiveness in a short period following one or more doses,Tachyphylaxis
" associated with prominent physical signs, lack of psych history, temporal association",Substance-induced psychotic disorders
 only form in renal tubules due to precipitation with Tamm-Horsfall protein secreted by tubular epithelial cells,White blood cell casts
 hormone that mediates gallbladder hypomotility in pregnancy,Progesterone
 low gonadotropin releasing hormone FSH LH and consequently either testosterone or estrogen can simulate menopause,Prolactinoma
" histologically, can present with prolonged downward Awakenings between the dermal papillae called rete ridges",Psoriasis
" can occur w/ vasculitis, often reveal a cherry red spot on fundus with surrounding white area due to ischemia without hemorrhage",Central retinal artery occlusion
" associated with acute headache, eye pain, vision loss; fundus shows cupping of optic disc without hemorrhage",Closed-angle glaucoma
" can be caused by uncontrolled hypertension; can present with flame or dot hemorrhages, as well as cotton-wool spots",Acute retinal hemorrhage
" associated with increased glomerular celluarity, ""proliferative = cell count""",Proliferative glomerulonephritis
" can present as an esophagitis, usually in immunocomprimised; associated with small shallow ulcers; histologically, multinucleated giant cells with cowdry bodies",HSV
 similar auscultation as aortic stenosis - a harsh crescendo decrescendo systolic ejection murmur heard best in the right 2nd parasternal space with radiation to the carotids; can occur with an early systolic ejection click,Bicuspid aortic valve
 moderate increase in capillary fluid transudation can be offset by compensatory increase in tissue lymphatic pressure,COPD / emphasema
 an indirect estimate of left atrial pressure,Pulmonary capillary wedge pressure
" associated with increased left atrial pressures throughout the cardiac cycle (e.g. increased preload, increased afterload)",Mitral stenosis
 is due to an accessory pathway that bypasses the AV node and directly connects the atria and ventricles,Wolf-parkinson-white
 cardiac myocyte degeneration below the level of the AV node,Conduction block
 can present as abnormal nonuniform P-waves on ECG,Ectopic atrial rhythm
" resultant motion can be described as ""systolic anterior motion of the mitral valve""",Hypertrophic cardiomyopathy
" can present with progressive dyspnea or exhaustion, due to increasing compensatory / remodeling mechanisms at play",Congestive heart failure
 selective vasodilators of coronary vessels can worsen flow in ischemic areas (e.g. dipyridamole and ADENOSINE),Coronary steal
" pain in this condition is not only relieved when leaning forward, but also sitting up",Acute pericarditis
 can take years of restrictive cardiomyopathy to develop this sign,Kussmaul's sign
 paradoxical increase in JVP with inspiration; also associated with tricuspid stenosis,Kussmaul's sign
" associated with normal left ventricular ejection fraction, normal left ventricular end-diastolic volume, and elevated LV filling / possible filling defects",Diastolic heart failure
" associated with increased pulmonary pressure leading to Eisenmenger syndrome; if corrected, heart can revert to normal morphology",Atrial septal defect
 can present with coronary sinus dilation secondary to this condition due to elevated right sided heart pressure,Pulmonary hypertension
" despite the continuous murmur heard best at the left infraclavicular region, a small one is usually asymptomatic",Patent ductus arteriosis
" stroke volume increases with myocardial stretch, at all times",Frank-Starling mechanism
" can be treated with tools that increase the ratio of forward to regurgitant blood flow; e.g. while left atrium pressures remain constant, systemic vascular resistance can be reduced",Mitral regurgitation
" associated with death by profound hypotension, usually within 14 days of an MI",Ventricular free-wall rupture
" on auscultation, occurs right before S1",S4 heart sound
 galloping heart sound that can be present in healthy older adults,S4 heart sound
 galloping heart sound that can be present in Age <40 and pregnancy,S3 heart sound
" heart sound occurring immediately after S2; commonly associated with increased ventricular end-systolic volume (e.g. mitral regurgitation, systolic heart failure)",S3 heart sound
" normal process in aging, associated with psammoma bodies in the necrotic tissue (dystrophic calcification)",Calcific aortic stenosis
 a tracing that is most sensitive to atrial contraction,Jugular venous pressure
" referring to the jugular venous tracing, the section of the diagram associated with passive emptying of the right atrium in early diastole",Y-descent
 low cardiac output but NOT ASSOCIATED WITH PULMONARY EDEMA,Isolated right ventricular dysfunction
" associated with lower left-sided filling pressure, thus lower PCWP",Isolated right ventricular dysfunction
 a deficiency in this trace element can cause dilated cardiomyopathy,Selenium deficiency
 most often caused by a re-entrant current that rotates around the tricuspid annulus,Atrial flutter
 most often triggered by rapid electrical impulses originating in the pulmonary veins,Atrial fibrillation
" due to increased pressure and volume of endolymph, presents with a triad- tinnitus, episodic vertigo, sensorineural hearing loss",Meniere disease
 inherited condition seen in middle age where bony overgrowth of the stapes results in conductive hearing loss,Otosclerosis
" inflammation of the vestibular nerve that causes acute-onset vertigo, nausea, vomiting; usually occurs once following a viral infection",Labyrinthitis
" rare severe hypoplasia of marrow erythroid elements in the setting of normal granulopoiesis and thrombopoiesis; associated with thymoma (thymic tumor), lymphocytic leukemias, parvovirus B19",Pure red cell aplasia
 can be associated with anemia of chronic disease (high hepcidin),Cancer syndromes
" includes astrocytomas, oligodendrogliomas, and ependymomas; all stain positive for GFAP",Gliomas
 stenosis >> dissection with bicuspid aortic valve,Risk of aortic stenosis vs. dissection
 acts as a decoy receptor for RANK-L; usually constant vs. RANK-L,Osteoprotegerin
" migratory polyarthritis from this condition is generally transient and rarely, if ever, deforming",Acute rheumatic fever
" usually associated with loss dopamine secretion to the anterior pituitary, resulting in prolactinemia",Hypothalamus injury
" converts cholesterol to pregnenolone, when deficient, causes a rare form of CAH that causes cholesterol to accumulate in gonads and adrenals",Side chain cleavage enzyme
 class of ligand-gated ion channels that conduct sodium and potassium; located on the motor end plate,Nicotinic ACh
" associated with decreased hepcidin synthesis, and DMT1 expression; leading to increased iron secretion and uptake from the gut, respectively",HFE protein mutation
" occurs with mass effect of the SVC, more common with lung cancer, followed by non-Hodgkin lymphoma; (e.g. mediastinal mass)",Superior vena cava syndrome
" presents with facial swelling, high ICP, dilated collateral veins",Superior vena cava syndrome
" caused by incomplete closure of the umbilical ring; associated with Down syndrome; compare to gastroschisis or omphalocele, which is caused by failure of reduction of gut into abdomen in development",Congenital umbilical hernia
" protrusion at the umbilicus present at birth; reducible, asymptomatic, spontaneously resolves",Congenital umbilical hernia
" due to compression of the LOWER trunk of the brachial plexus in the scalene triangle; presents with upper extremity numbness, tingling, weakness",Thoracic outlet syndrome
 space bordered by the anterior and middle scalene muscles and the first rib,Scalene triangle
" peptide hormone that has 3 effects; triggered by volume expansion; increased GFR though afferent vasodilation and efferent vasoconstriction, reduced Na+ proximal reabsorption, reduced renin secretion",ANP/BNP
" if the difference between control and experimental group is not 0 and the 95% confidence intervals do not cross midline of 0, the study likely found the two measures statistically significant",Confidence intervals in meta analyses
 recognize stop codons and terminate protein synthesis; via releasing polypeptide chain and breaking up the ribosome-mRNA complex,Releasing factors
 a hypersensitivity reaction that involves Th1-lymphocytes releasing IFN-gamma for recruitment and stimulation of macrophages,Delayed type hypersensitivity reactions
" vitamin deficiency associated with DECREASED Ca2+, phosphorus, and increased PTH",Vitamin D-deficiency
 associated with relaxing the uterus (e.g. literally stopping contractions),Beta 2 receptor agonism
 receptor associated with mydriasis (e.g. in flight or fight),Alpha-1 receptor agonism
" mutated protein in cystic fibrosis that only opens after 2 ATP molecules binds; this allows chloride (and thus sodium, water) to pass through and hydrates mucosal surfaces",CF transmembrane conductance regulator protein
" vagal maneuvers, such as carotid sinus massage, Valsalva, and cold water immersion and acutely terminate this",Paroxysmal supraventricular tachycardia (PSVT)
" increases parasympathetic tone, leading to 1) slower conduction through the AV node 2) prolonging the refractory period",Vagal maneuvers
" associated with vancomycin, and sulfonamides (e.g. sulfasalazine)",DRESS syndrome
" Pramipexole, ripinirole, bromocriptine",Dopamine agonists
" also inhibit 7-alpha-hydroxylase, which catalyzes the rate-limiting step in synthesis of bile acids; this in turn leads to cholesterol supersaturation and formation of bile stones",Fibrates
 decreasing activity of this hepatic enzyme would reduce cholesterol secreted in bile,HMG-CoA reductase
 released by damaged hepatocytes and bacteria in infected bile; is responsible for unconjugating bilirubin and leading to brown color of pigmented gallstones,Beta-glucuronidase
 acts on the arcuate nucleus of the hypothalamus to inhibit production of neuropeptide Y (decreases appetite) and stimulate production of alpha-MSH (increases satiety),Leptin
 neuropeptide that works to directly increase appetite,Neuropeptide Y
 hormone that directly increases satiety; it's synthesis is stimulated by leptin,alpha-MSH
" caused by compression or occlusion of the artery that runs along the front of the spinal cord; usually associated with complete loss of strength below the level of injury, including loss of pain and temperature, but preserved vibratory sense",Anterior spinal artery syndrome
 only mediates development of the internal male genitalia; DHT mediates development of the external genitalia,Testosterone
" associated with fusion and release of neurotransmitter vesicles; compare to voltage-gated sodium channels, which are more useful for axonal propagation of the action potential",Voltage-gated calcium channels
 similar to the Shine-Dalgarno sequence in E.coli; helps to initiate translation,Kozak consensus sequence
" defined by sequence: (gcc)gccRccAUGG, where, R can be A or G; helps to initiate translation at the methionine start codon",Kozak consensus sequence
 aka expectancy bias; when investigators or participants misclassify data due to preconceived expectations or prior knowledge concerning the study,Observer bias
" refers to the apparent prolongation of survival in patients who undergo a screening test that allows for earlier diagnosis, but does not actually improve prognosis (e.g. pancreatic cancer treatment could be started earlier without affecting age at death)",Lead-time bias
" can present with loss of autonomic afferent innervation, resulting in the inability to sense a full bladder",Overflow incontenence
" due to epidural cord compression, urinary retention develops LATE with fecal incontinence; as well as loss of sensation in the perineal area",Cauda equina syndrome
" also known as a ""prevalence study""",Cross-sectional study
 attributable risk percent in the exposed = 100 * [(risk in exposed - risk in unexposed) / risk in exposed],Relative risk
" AR disorder that results in high androgen and low estrogen in the female fetus, associated with normal internal genitalia an dmale-type external genitalia; associated with MATERNAL VIRILIZATION during pregnancy due to transfer of excess androgens",Aromatase deficiency
 a more negative difference on this test highlights increased sodium absorption via the ENaC on respiratory epithelium (less chloride from mutated CTFR channel disinhibits ENaCs),Nasal transepithelial potential difference test
 stimulates secretion of bicarb from pancreas,Secretin
 released from duodenal S-cells in response to increasing acid,Secretin
 abnormal proliferation of mast cells that release much histamine; can present with itching after hot showers; can have downstream effects (e.g. high histamine leading to gastric hypersecretion),Systemic mastocytosis
" can occur independently, or with polycythemia vera; associated with high levels of CD117 / KIT -positive cells",Systemic mastocytosis
 form of glucose most preferred by stereoselective GLUT proteins,D-glucose
 total peripheral resistance and myocardial contraction velocity are high due to sympathetic activation; administration of fluids here will reduce sympathetic activation and decrease the aforementioned,Hypovolemic shock
 fluids are given in this state of shock to increase stroke-volume and cardiac output via Frank-Starling mechanism,Hypovolemic shock
 2/3rds of K+ reabsorption are conducted here,Proximal convoluted tubule
 associated with pulling the clavicle superiorly in a clavicular mid-shaft fracture,Sternocleidomastoid muscle
" repetitive quadriceps contraction can lead to Chronic avulsion, which in turn leads the proximal patellar tendon the separate from the tibial tubercle; common in adolescent athletes after a growth spurt",Osgood schlatter disease
" can present with a patient complaint of ""knee buckling""",Femoral neuropathy
" can be caused with trauma, nerve compression, stretch injury, ischemia; e.g. pelvic injury, hematoma in L2-L4 region",Femoral neuropathy
 results from missing SHOX gene via meiotic nondisjunction,Turner syndrome
 specifically binds CD14 on macrophages to make them angry; from bacteria,Lipopolysaccharide
" compare to host vs graft disease; often occurs following organ transplants rich in lymphocytes (e.g. liver); associated with skin, liver, GI tract illness e.g. diarrhea, sesquamative rash",Graft vs. host disease
 depends on lysosome acidification (e.g. like with regular antigen presentation following phagocytosis),Class II MHC
 mediated by the facial nerve on the stapedius,Acoustic reflex
" glucuronidation defect that is mild at best, with icterus usually experienced during times of stress, NO HEPATOMEGALY",Gilbert's disease
" even in large lesions, the region of fibroblast infiltration and (fibrotic inflammatory response) is separated from viable neuronal tissue by this process",Reactive gliosis
 used in emergent treatment of patients with acute coronary syndrome,Beta blockers
" painless, transient monocular vision loss due to small embolus in the ophthalmic artery; does not last more than a few seconds",Amaurosis fugax
 have relative rather than absolute insulin deficiency; high insulin suppresses ketone formation,Type II diabetes mellitus
" dark color due to impaired excretion of epinephrine metabolites, which histologically apear as dense pigments within lysosomes",Dubin-Johnson syndrome
 associated with a SOLID lesion that can compress the 4th ventricle; usually in the posterior fossa or cerebellum,Medulloblastoma
" progressive headache, NV, with nonlocalizing neurologic symptoms; caused by malignant hypertension",Hypertensive encephalopathy
 most common cause of intracranial hemorrhage in children,Arteriovenous malformation
" integrates into the host genome, increasing risk for hepatocellular carcinoma",Hepatitis B
 where an initial embryonic disturbance leads to multiple malformations by disrupting the development of adjacent tissues and structures,Developmental field defect
" responsible for activation of trypsin, secreted by duodenal brush border",Enteropeptidase
" like number needed to treat, but with an adverse event rate instead; 1/absolute risk increase",Number needed to harm
" not reabsorbed by any portion of the nephron, and is in fact secreted",Para-aminohippuric acid
" cases and controls should be based on disease status, not on exposure status",Case-control studies
 should not be associated with maternal age,Chromosomal deletions
" aka the space constant, is a measure of how far along an axon that an electrical impulse can propagate without requiring active regeneration by ion channels (e.g. increased via nodes of ranvier)",Length constant
 measure of time it takes for the membrane potential to respond with a change in membrane permeability (e.g. sodium channel activation); affected by resistance and capacitance,Time constant
 associated with supernormal expiratory flow rates with reduced lung capacities,Interstitial lung disease
" fibrotic interstitial tissues in the outward pulling on the airways, AKA radial traction, preventing normal collapse with expiration",Interstitial lung disease
 gait with hip drop as ipsilateral foot is lifted off of the ground; generally associated with superior gluteal nerve (gluteus medius) injury from superomedial quadrant buttock needlestick,Trendelenburg gait
" deficiency results in cataracts, pseudotumor cerebri; due to accumulation of galactitol",Galactokinase
" deficiency of this enzyme results in jaundice, hepatomegaly, sepsis, cataracts, etc.. due to severe buildup of galactose-1-phosphate; presents after breast milk ingestion",Galactose-1-phosphate uridyl transferase
" associated with hypokalemic alkalosis in addition to hypertension, can result in muscle weakness and parasthesias",Primary hyperaldosteronism
 a fibrous band can connect the tip of the anomaly with the umbilicus; normally closes after birth,Meckel diverticulum
 located -25 bases upstream from the coding region; is one of the 2 promoter regions in eukaryotes,TATA box
 located -75bp from the coding region; is one of the 2 promoter regions in eukaryotes,CAAT box
 can also present with sudden severe headache; eventually leads to cardiovascular collapse with low ACTH secretion,Pituitary apoplexy
 decrease in concentration along the length of the renal tubule,"Bicarbonate, glucose, amino acids"
 concentration increases along the length of the renal tubule,"PAH, creatinine, inulin, urea"
 is a peptide hormone that acts with GPCRs to ultimately release cortisol,ACTH
" domains present on intracellular receptors that bind steroids, thyroid hormone, and fat-soluble vitamins",Zinc-finger binding domains
 also referrred to as the delta agent,Heptatitis D
 associated with the degree of overlap between healthy and diseased population curves results in the following changes in test parameters,Decrease in sensitivity and specificity
 the maximal value of action potential during which the membrane potential obtains a positive value (e.g. +35mV),Action potential overshoot
" when K+ ion permeance is highest, right after the action potential overshoot phase",Repolarization phase
" relatively constant in flow due to low systolic pressures, compared to flow in the opposing ventricle, which only lets it take blood during diastole",Blood flow to the right-ventricular myocardium
" due to inhibin B from Sertoli cells, and testosterone from Leydig cells",Negative feedback on FSH/LH production in males
" exposures in rows (exposure present above absent), outcome/disease present in columns (present before absent)",Standard format of measures of association
" ad/bc in standard format, calculated in case-control studies where RR cannot be obtained due to such studies' inability to follow patients over time to determine incidence",Odds ratio
" innervates major forearm flexors, provides sensory innervation to the lateral forearm; can be injured in trauma or strenuous upper extremity exercise",Musculocutaneous nerve
 axillary lymph node dissection is a risk factor for development of lymphadema involving the ipsilateral arm; this predisposes the development of angiosarcoma,Cutaneous angiosarcoma / Stewart-Treves syndrome
" found in between the transversalis muscle and extraperitoneal fat, it forms the posterior wall of the inguinal canal",Transversalis fascia
 thickened part of the pectineal fascia overlying ridge of the pubic bone; behind femoral canal,Cooper's ligament
 where H influenzae grow only near the beta-heymolytic S aureus colonies that secrete factor V and facilitate release of factor X from RBCs,Satellite phenomenon
" protein phosphatase, once activated, dephosphorylates nucelar factor of activated T cells (NFAT), which in turn binds to IL-2 promoter for autocrine/paracrine release",Calcineurin
 can be with ampicillin (2nd line vs. penicillin),Group B strep prophylaxis
 can also compress the anterior horn resulting in hyperreflexia,Syringomyelia
" glucose receptor on beta cells; high glucose leads to increased ATP and closure of ATP-sensitive K+ channels, which in turn release insulin",GLUT2
" mastitis will more likely present with fever,  compare with inflammatory breast cancer which would have no extensive systemic symptoms",Mastitis vs. inflammatory breast cancer
 keloids scarring and hypertrophic scarring can occur through this process,Surgical scars
" medial to the femoral artery; ""venous to penis""; note that femoral vein starts below the femoral ring",Optimal cannulation site for femoral vein
" these drugs can cause first-dose hypotension in patients with volume depletion, (presumably due to aldosterone being one of the remaining factors keeping blood pressure in check); this med should be initiated at low dosages first",ACE inhibitors
 aka reactivation of a latent tuberculosis infection,Secondary M tuberculosis infection
 provides additional T-cell protection over the Salk vaccine due to weak ability for live attenuated virus to infect cells; Salk vaccine provides B-cell immunity only,Sabin polio vaccine
" for active illness, treatment is with a combination of anti-toxoid antibodies (passive immunization) and antibiotics to limit further production of antibodies",Diptheria
" to read, assume the null value of relative risk = 1; if the confidence interval boundaries do not cross the null value, then it is safe to assume that the study found the relative risk to be significantly different with P <0.05",Confidence interval with relative risk
" 68% lie within 1, 95% lie within 2, and 99.7% lie within 3",Standard deviation
 present within early lumbar spinal levels (T1-L2); contain sympathetic preganglionic neurons,Lateral horns of spinal cord
" towards the head; compare to caudal, which means ""towards the tail""""",Rostral
" only present in the spinal cord above the T7 level, the gracile fasiculi is only present below this",Cuneate fasiculi
 lower cervical and lumbosacral regions of the spinal cord have prominent presence of these horns,Ventral horns of the spinal cord
" if uterine massage and uterine atony medications fail to stop vaginal bleeding in an otherwise uncomplicated pregnancy, assume this",Placenta accretia
" similar to adults, caused by an excess of unmineralized matrix; but this time, of type 2 hylaine cartilage",Rickets
 the snap is heard before ventricular filling has occurred,Mitral prolapse
 occlusion of the hepatic vein in this condition shows centrilobular congestion and fibrosis (e.g. nutmeg liver),Budd-chiari syndrome
" e.g. occurs with acetaminophen overdose; histologically, shows centrilobular necrosis",Liver toxicicty
" because it is caused by buildup of products between PBG deaminase and ALAS, stimulation of ALAS with CYP450 inducers (E.g. smoking, barbituates, anti-epileptics) can cause symptomatic episodes",Acute intermittent porphyria
 treatment involves down-regulation of ALAS with glucose and heme,Acute intermittent porphyria
 total filtration rate - total tubular absorption rate,Net renal excretion rate
 GFR * plasma concentration of a substance,Total filtration rate of a substance
 clearance of this is the best estimator of GFR,Inulin clearance
" secreted by the liver, this is the MAIN way iron absorption is contolled",Hepcidin
" in a normal chest x-ray, this structure composes much of the right side of the cardiac silhouette; it is most anterior",Right atrium
" damage to this structure results in a pure motor deficit affecting the contralateral arm, leg, lower face; upper motor neuron damage signs are also present on the contralateral side",Internal capsule
 damage to this brain structure results in extrapyramidal symptoms such as chorea and athetosis,Caudate
" this brain structure is involved in coordinating body states with emotions, autonomic system control, and conscious experience of visceral symptoms",Insula
" part of the basal ganglia; damage to this structure effects initiation of movement, often presenting with contralateral tremor, rigidity, bradykinesa",Putamen
" composed of an external and internal segment; damage to the external segment results in decreased movement, damage to the internal segment results in increased movement",Globus pallidus
" presents with ataxia, imbalance, INCOORDINATION, NYSTAGMUS, cannot walk in tandem due to imbalance",Cerebellar dysfunction
" just like any other viral illness, getting this as a child will create lifelong immunity towards reinfection with this virus",Hepatitis A anicteric infection
" due to relaxation of the oropharyngeal muscle occlusion of the upper airway; commonly presents with daytime sleepiness, headaches, depression",Obstructive sleep apnea
 this vitamin should be a supplement in the diet of all exclusively breast-fed infants,Vitamin D
 these vitamins are insufficient in breast milk,Vitamin D and K
 most major complication that affects premature infants born before <32 weeks,Surfactant deficiency
" can help to rapidly mature type II pneumocytes in premature infants, which in turn limit the effects of surfactant deficiency",Glucocorticoids
 AKA preterm labor,Tycolysis
" nifedipine and terbutaline can prevent premature uterine contractions; via inhibiting myosin-light-chain kinase-mediated phosphorylation, and increasing cAMP respectively",Calcium channel inhibitors and Beta-2 agonists
 effect when hemoglobin releases H+ and CO2 following binding O2 in a high pO2 zone (e.g. lungs); AKA hemoglobin unloading,Haldane effect
 effect when low pH and CO2 present the periphery stimulates O2 unloading from hemoglobin,Bohr effect
